"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"14882","Tamil Nadu","Installation of multi-gym equipment","WS/MP165/2025-2026/160088","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","24-Jun-2025","RAMANATHAN","Payment Success","564483"
"14883","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2023-2024/90505","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","24-Jun-2024","Maa Vaishno devi traders","Payment Success","459170"
"14884","Tamil Nadu","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP162/2023-2024/65656","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","13-Feb-2025","RAVICHANDRAN A","Payment Success","920935"
"14885","Tamil Nadu","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP162/2023-2024/65656","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","13-Feb-2025","RAVICHANDRAN A","Payment Success","541793"
"14886","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP189/2023-2024/49634","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","10-Oct-2024","MS V K Enterprises","Payment Success","986820"
"14887","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP189/2023-2024/49634","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","19-May-2025","MS V K Enterprises","Payment Success","1013180"
"14888","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18300/2025-2026/172323","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","01-Sep-2025","BIDHANSABHA KESHETRA NAVINAGAR SAHAYAK ABHIYANTA","Payment Success","524531"
"14889","Tamil Nadu","Installing tube-wells and borewells","WS/MP166/2024-2025/126272","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","29-Jun-2024","T Raju","Payment Success","513352"
"14890","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2025-2026/147262","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","25-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","143520"
"14891","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2024-2025/147266","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","25-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","144480"
"14892","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/52968","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","19-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14893","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/48498","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14894","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/48496","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14895","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/52971","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14896","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/48495","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","20-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14897","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/52971","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","21-Aug-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14898","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/48495","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","24-Dec-2024","BDO DEHRA MP RAJYA SABHA","Payment Success","50000"
"14899","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2024-2025/147266","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","21-May-2025","BDO DEHRA MP RAJYA SABHA","Payment Success","144480"
"14900","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2025-2026/147262","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Nov-2025","BDO DEHRA MP RAJYA SABHA","Payment Success","144480"
"14901","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/102821","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Jul-2024","BDO DEHRA MP RAJYA SABHA","Payment Success","125000"
"14902","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP078/2023-2024/102819","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Jul-2024","BDO DEHRA MP RAJYA SABHA","Payment Success","250000"
"14903","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216907","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14904","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216908","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14905","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216923","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14906","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216909","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14907","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216924","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14908","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216910","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14909","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216902","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14910","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216906","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14911","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216903","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","24-Dec-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14912","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216901","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","24-Dec-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14913","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216904","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","24-Dec-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14914","Bihar","Installing hand pumps","WS/MP18300/2025-2026/216925","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","24-Dec-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","84714"
"14915","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","29-Oct-2024","Salh Cement Store","Payment Success","20000"
"14916","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","29-Oct-2024","Salh Cement Store","Payment Success","46800"
"14917","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","29-Oct-2024","Salh Cement Store","Payment Success","88200"
"14918","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","23-Sep-2024","Salh Cement Store","Payment Success","55324"
"14919","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","23-Sep-2024","Salh Cement Store","Payment Success","33200"
"14920","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","23-Sep-2024","Salh Cement Store","Payment Success","49300"
"14921","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","10-Dec-2024","Salh Cement Store","Payment Success","34000"
"14922","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","10-Dec-2024","Salh Cement Store","Payment Success","15600"
"14923","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","21-Apr-2025","Salh Cement Store","Payment Success","716"
"14924","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Aug-2024","Salh Cement Store","Payment Success","51412"
"14925","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Sep-2024","Salh Cement Store","Payment Success","51000"
"14926","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Sep-2024","Salh Cement Store","Payment Success","4600"
"14927","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Sep-2024","Salh Cement Store","Payment Success","45600"
"14928","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Sep-2024","Salh Cement Store","Payment Success","54750"
"14929","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Aug-2024","Salh Cement Store","Payment Success","55360"
"14930","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2023-2024/74812","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","06-Nov-2024","SUKHDEV MISTRI","Payment Success","36000"
"14931","Kerala","Lighting of public spaces","WS/MP096/2024-2025/132537","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","08-Oct-2024","Kerala Electrical And Allied Engineering Company","Payment Success","492987"
"14932","Kerala","Lighting of public spaces","WS/MP096/2024-2025/132536","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","07-Oct-2024","Kerala Electrical And Allied Engineering Company","Payment Success","492987"
"14933","Kerala","Lighting of public spaces","WS/MP102/2024-2025/173957","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","31-Jul-2025","Kerala Electrical And Allied Engineering Company","Payment Success","449249"
"14934","Kerala","Lighting of public spaces","WS/MP096/2024-2025/132560","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jul-2024","Kerala Electrical And Allied Engineering Company","Payment Success","136886"
"14935","Kerala","Lighting of public spaces","WS/MP096/2024-2025/132561","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","22-Aug-2024","Kerala Electrical And Allied Engineering Company","Payment Success","136886"
"14936","Kerala","Lighting of public spaces","WS/MP18405/2024-2025/163637","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","06-Aug-2025","Kerala Electrical And Allied Engineering Company","Payment Success","293974"
"14937","Kerala","Lighting of public spaces","WS/MP18405/2024-2025/163636","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","05-Aug-2025","Kerala Electrical And Allied Engineering Company","Payment Success","293974"
"14938","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/257567","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","19-Jun-2026","Kerala Electrical And Allied Engineering Company","Payment Success","293975"
"14939","Kerala","Street lights","WS/MP099/2026-2027/140169","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","14-Aug-2026","Kerala Electrical And Allied Engineering Company","Payment Success","174920"
"14940","Kerala","Lighting of public spaces","WS/MP099/2025-2026/190123","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","17-Jul-2026","Kerala Electrical And Allied Engineering Company","Payment Success","174176"
"14941","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/163631","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","27-Jun-2026","Kerala Electrical And Allied Engineering Company","Payment Success","293975"
"14942","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/169040","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","14-Jul-2026","Kerala Electrical And Allied Engineering Company","Payment Success","293975"
"14943","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2023-2024/42665","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","27-Aug-2024","CHANDRA CONSTRUCTION","Payment Success","999254"
"14944","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2023-2024/42665","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","01-Jul-2024","CHANDRA CONSTRUCTION","Payment Success","1500000"
"14945","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/202481","Phalodi(DISTRICT COLLECTOR PHALODI_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","12-Feb-2026","gram panchayat bhajannagar","Payment Success","249536"
"14946","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/202483","Phalodi(DISTRICT COLLECTOR PHALODI_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","12-Feb-2026","gram panchayat bhajannagar","Payment Success","249434"
"14947","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/202482","Phalodi(DISTRICT COLLECTOR PHALODI_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","12-Feb-2026","gram panchayat bhajannagar","Payment Success","249408"
"14948","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/190714","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","16-May-2026","JABIR JASEEM P","Payment Success","818329"
"14949","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2025-2026/181252","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","16-May-2026","JABIR JASEEM P","Payment Success","818016"
"14950","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/145597","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","15-May-2025","JABIR JASEEM P","Payment Success","281103"
"14951","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP096/2024-2025/132372","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","12-Jul-2024","SAMEER HYDER","Payment Success","367434"
"14952","Tamil Nadu","Construction of community centers and community halls","WS/MP166/2024-2025/113031","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","01-Jul-2024","JP CONSTRUCTION","Payment Success","1459000"
"14953","Tamil Nadu","Construction of community centers and community halls","WS/MP166/2024-2025/113030","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","28-Nov-2024","JP CONSTRUCTION","Payment Success","1459000"
"14954","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/26207","BETUL(DISTRICT COLLECTOR, BETUL)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Sep-2024","DAHARE BULDING MATERIALS","Payment Success","65267"
"14955","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/26207","BETUL(DISTRICT COLLECTOR, BETUL)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Sep-2024","DAHARE BULDING MATERIALS","Payment Success","28160"
"14956","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/119974","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","18-Sep-2024","R S Contractor","Payment Success","1916245"
"14957","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/84999","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","18-Sep-2024","R S Contractor","Payment Success","129371"
"14958","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/94829","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","08-Nov-2024","R S Contractor","Payment Success","462103"
"14959","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/95374","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","08-Nov-2024","R S Contractor","Payment Success","258420"
"14960","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263873","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","23-Mar-2026","R S Contractor","Payment Success","1480275"
"14961","Uttar Pradesh","Development of public parks","WS/MP183/2025-2026/263883","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","19-Mar-2026","R S Contractor","Payment Success","2137029"
"14962","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/119974","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","29-Jun-2024","R S Contractor","Payment Success","5074508"
"14963","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263873","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","07-Aug-2026","R S Contractor","Payment Success","517438"
"14964","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/95374","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","27-Jun-2024","R S Contractor","Payment Success","640535"
"14965","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/84999","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","27-Jun-2024","R S Contractor","Payment Success","270243"
"14966","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2023-2024/94829","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","27-Jun-2024","R S Contractor","Payment Success","1137568"
"14967","Odisha","Street lights","WS/MP138/2025-2026/203494","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"14968","Odisha","Street lights","WS/MP138/2025-2026/203492","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"14969","Odisha","Street lights","WS/MP138/2025-2026/203493","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"14970","Odisha","Street lights","WS/MP138/2025-2026/203490","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","18000"
"14971","Odisha","Street lights","WS/MP138/2025-2026/203490","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","18-Oct-2025","SHIBABRATA MALLICK","Payment Success","180000"
"14972","Odisha","Street lights","WS/MP138/2025-2026/203491","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"14973","Odisha","Street lights","WS/MP138/2025-2026/203495","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Oct-2025","SHIBABRATA MALLICK","Payment Success","198000"
"14974","Tamil Nadu","Street lights","WS/MP165/2024-2025/96026","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","26-Jun-2024","GA INDUSTRIES","Payment Success","491278"
"14975","Tamil Nadu","Street lights","WS/MP165/2024-2025/96027","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","26-Jun-2024","GA INDUSTRIES","Payment Success","491278"
