"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2990","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263862","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","06-Apr-2026","M S CONSTRUCTION","Payment Success","2357979"
"2991","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263867","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","07-Aug-2026","M S CONSTRUCTION","Payment Success","892623"
"2992","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP183/2025-2026/263862","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","07-Aug-2026","M S CONSTRUCTION","Payment Success","838114"
"2993","Himachal Pradesh","Purchase Books for Library","WS/MP18304/2025-2026/260634","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","24-Mar-2026","Govind Law Agency","Payment Success","50000"
"2994","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/222010","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Mar-2026","Jagriti Mahila Mandal Kotla","Payment Success","170861"
"2995","West Bengal","Construction of community centers and community halls","WS/MP218/2025-2026/196988","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","24-Mar-2026","SANJIT GHOSH","Payment Success","801691"
"2996","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2025-2026/192724","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","23-Mar-2026","SACHITANANDA TRIPATHY","Payment Success","300000"
"2997","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/194948","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","21-Mar-2026","ADIWASI MAJOOR SAHAKARI SANSTHA CHANDSURA","Payment Success","968251"
"2998","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265888","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","19-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"2999","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265887","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","19-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"3000","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265886","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","19-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"3001","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265884","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","18-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"3002","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265883","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","18-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"3003","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265882","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","18-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"3004","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18438/2026-2027/265885","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","18-May-2026","SRI THANDEESWARAR TECHNOLOGIES","Payment Success","200000"
"3005","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140630","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","30-Mar-2026","SAMARWADA GRAM PANCHAYAT","Payment Success","500000"
"3006","Uttar Pradesh","Providing drains and gutters for public drainage","WS/MP183/2026-2027/268857","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","12-Aug-2026","Ms Sudheer Traders","Payment Success","1799898"
"3007","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2025-2026/249254","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","19-Jun-2026","Ms Maa Vindhya Contruction Co","Payment Success","195262"
"3008","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2025-2026/249254","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","23-Mar-2026","Ms Maa Vindhya Contruction Co","Payment Success","589637"
"3009","Odisha","Construction of rooms and halls in school and colleges","WS/MP132/2025-2026/240879","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","31-Mar-2026","SURENDRA PANDA","Payment Success","500000"
